name,industry,headquarters,fortune_500_rank,notes,traded_as,founded,key_people,revenue,employees,website,wikipedia_url,subsidiaries,founders,services,type
L3 Technologies,"Aerospace, Defense","New York City, New York, United States[citation needed]",,"Randtron), San Leandro (Applied Technologies), Santa Rosa (Sonoma EO",NYSE: LHX,February 1997; 27 years ago (February 1997)[1],"['Michael T. Strianese (chairman', 'CEO)Christopher E. Kubasik (CEO and president)']",US$9.573 billion[2] (2017),"38,000[3] (2017)",www.l3t.com,https://en.wikipedia.org/wiki/L3_Technologies,,,,
Lawrence Livermore National Laboratory,Aerospace/defense,Livermore,,,,,,,,llnl.gov,https://en.wikipedia.org/wiki/Lawrence_Livermore_National_Laboratory,,,,
Lockheed Martin Space Systems,Aerospace/defense,"Palo Alto, Sunnyvale",,,,,,,,,https://en.wikipedia.org/wiki/Lockheed_Martin_Space_Systems,,,,
Redwire Space,Aerospace industry,"Jacksonville, Florida, United States",,,NYSE: RDW,"June 1, 2020; 4 years ago (2020-06-01)","['Peter Cannito (Chairman and CEO)', 'Andrew Rush (COO)', 'Jonathan Baliff (CFO)', 'Al Tadros (CTO)']",US$138 million (2021),606 (December 2021),redwirespace.com,https://en.wikipedia.org/wiki/Redwire_Space,"['Adcole Space', 'Deep Space Systems', 'Deployable Space Systems', 'LoadPath', 'Made In Space, Inc.', 'Oakman Aerospace', 'Roccor']",,,
NASA Ames Research Center,Aerospace/defense,"Moffett Field, California, U.S.",,,,,,,,nasa.gov/ames/,https://en.wikipedia.org/wiki/NASA_Ames_Research_Center,,,,
Sandia National Laboratories,Aerospace/defense,Livermore,,,,,,,,sandia.gov,https://en.wikipedia.org/wiki/Sandia_National_Laboratories,,,,
Space Systems Loral,Aerospace,"Palo Alto, California, USA",,,,1957 (as Philco WDL)1990 (as Space Systems/Loral),,,2900,SSL,https://en.wikipedia.org/wiki/Space_Systems_Loral,,,,
Allbirds,Footwear,"San Francisco, California, US",,,Nasdaq: BIRD (Class A),2016; 8 years ago (2016),"['Joe Vernachio (CEO)', 'Annie Mitchell (CFO)', 'Kelly Olmstead (CMO)', 'Adrian Nyman (CDO)']",US$254 million (2023),927 (2023),allbirds.com,https://en.wikipedia.org/wiki/Allbirds,,"['Tim Brown', 'Joey Zwillinger']",,
Bebe,Retail,"400 Valley Drive,Brisbane, California, U.S.",,,OTCQB: BEBE,"June 7, 1976; 48 years ago (1976-06-07), in San Francisco, California, U.S.","['Manny Mashouf (CEO)', 'Kenneth M. Young (Director)', 'Perry Mandarino (Director)']",US$603 million (FY 2009)[1],"4,433 (2008)",www.bebe.com,https://en.wikipedia.org/wiki/Bebe_stores,,,,
Betabrand,Fashion,"San Francisco, United States",,,,2010,,,,www.betabrand.com,https://en.wikipedia.org/wiki/Betabrand,,,,
Dolls Kill,"Retail, apparel, e-commerce","San Francisco, California, United States",,,,2011,"['Bobby Farahi', '(CEO & co-founder)', 'Shoddy Lynn', '(CCO & co-founder)']",,,www.dollskill.com,https://en.wikipedia.org/wiki/Dolls_Kill,,,['Online retail'],
Everlane,Retail,"San Francisco, California United States",,,,2010 (2010),['Rebekka Bay (Head of Product and Design)'],$40 Million (2017) [citation needed],,everlane.com,https://en.wikipedia.org/wiki/Everlane,,"['Michael Preysman', 'Jesse Farmer']",,
Gap Inc.,Retail,"San Francisco, U.S.",199.0,,NYSE: GAPS&P 400 component,"August 21, 1969; 55 years ago (1969-08-21)
in San Francisco, California, U.S.","['Richard Dickson (CEO)', 'Bob Martin (Chairman)', 'Katrina O’Connell (CFO)']",US$15.616 billion(2022)[1],"117,000 (2021)[1]",gap.comgapinc.com,https://en.wikipedia.org/wiki/Gap_Inc.,"['Banana Republic', 'Old Navy', 'Gap', 'Athleta']","['Donald Fisher', 'Doris F. Fisher']",,
Jos. A. Bank,Clothier,"Fremont, California, U.S.",,,,"1905; 119 years ago (1905)Baltimore, Maryland, U.S.",,,,www.josbank.com,https://en.wikipedia.org/wiki/Jos._A._Bank,,['Charles BankJoseph Alfred Bank'],,
Levi Strauss & Co.,Textile,"Levi's Plaza, San Francisco, California, US",495.0,,NYSE: LEVI (Class A),"May 1, 1853; 171 years ago (1853-05-01) (as David Stern & Levi Strauss)",['Michelle Gass (CEO);[2] Harmit Singh (CFO);[2] Stephen Neal (Chairman)[3]'],$5.764 billion (2021)[4],"15,100[8] (2018)",levistrauss.comlevi.com,https://en.wikipedia.org/wiki/Levi_Strauss_%26_Co.,,,,
Marmot,"Outdoor recreation, textile","Rohnert Park, California",,,,1974; 50 years ago (1974),['Mark Martin'],,,www.marmot.com,https://en.wikipedia.org/wiki/Marmot_(company),,,,
ModCloth,"Retail, Apparel, e-commerce","Los Angeles, California, United States",,,,"2002 in Pittsburgh, Pennsylvania",,$150 million+ (2014)[1],350+[2],modcloth.com,https://en.wikipedia.org/wiki/ModCloth,,['Eric KogerSusan Gregg-Koger'],,
Mountain Hardwear,Textiles,"Richmond, California",,,,"1993; 31 years ago (1993), Berkeley, California, United States","['Troy Sicotte', 'President Jack Gilbert', 'Founder']",,,mountainhardwear.com,https://en.wikipedia.org/wiki/Mountain_Hardwear,,,,
O'Neill,Apparel,"Luxembourg, Grand Duchy of LuxembourgWarmond, The NetherlandsSanta Cruz, California, U.S.",,,,"San Francisco, California, U.S.1952; 72 years ago (1952)","['Benoît Nasr', 'Brand and LicensingEppo van Berkelaer', 'EuropeMichael Pratt', ""U.S.Pat O'Neill"", 'Wetsuits']",,,http://www.oneill.com,https://en.wikipedia.org/wiki/O%27Neill_(brand),,,,
